# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
9662,SK Schweinfurt,Bayern,53426,1602,104.82,65,1602,104.82,62
9663,SK Würzburg,Bayern,127934,3144,60.97,100,3144,61.75,99
9671,LK Aschaffenburg,Bayern,174200,6011,77.50,188,6011,78.65,188
9672,LK Bad Kissingen,Bayern,103235,2464,91.05,82,2456,90.09,82
9673,LK Rhön-Grabfeld,Bayern,79635,2244,66.55,67,2244,66.55,67
9674,LK Haßberge,Bayern,84384,2527,61.62,69,2520,59.25,69
9675,LK Kitzingen,Bayern,91155,2258,20.84,80,2250,20.84,80
9676,LK Miltenberg,Bayern,128743,4450,73.79,113,4419,72.24,113
9677,LK Main-Spessart,Bayern,126158,3465,137.92,186,3457,134.75,186
9678,LK Schweinfurt,Bayern,115445,3478,60.63,109,3478,60.63,113
9679,LK Würzburg,Bayern,162302,3176,53.60,61,3176,54.84,60
9761,SK Augsburg,Bayern,296582,12747,75.53,346,12522,71.14,346
9762,SK Kaufbeuren,Bayern,44398,1597,92.35,46,1527,72.08,47
9763,SK Kempten,Bayern,69151,1643,53.51,37,1643,52.06,34
9764,SK Memmingen,Bayern,44100,1277,52.15,19,1277,52.15,19
9771,LK Aichach-Friedberg,Bayern,134655,3599,38.62,89,3601,37.87,87
